student_id,course_id,grade
12,6,60
12,4,81
36,10,100
36,7,58
36,1,75
36,2,96
36,8,73
36,3,81
61,8,59
61,10,81
61,7,72
72,1,89
72,3,92
72,6,100
72,4,83
72,5,79
72,10,77
105,10,69
105,6,80
105,7,70
105,3,77
105,9,94
105,8,59
105,2,92
15,6,94
15,2,73
15,3,43
15,4,65
15,7,94
15,8,74
15,9,60
55,2,67
55,9,87
55,7,83
55,1,71
55,6,69
55,5,69
113,5,61
113,7,99
113,4,70
113,10,93
113,1,97
109,1,89
109,2,68
109,5,81
109,8,74
101,3,61
101,6,79
84,3,57
84,7,92
108,7,68
108,3,78
108,10,79
108,2,71
108,4,83
18,5,67
18,9,88
18,3,54
18,8,76
18,2,100
18,10,59
18,4,64
14,3,82
14,8,77
14,9,80
14,10,82
29,1,84
29,9,91
29,4,81
29,5,71
29,6,85
29,7,100
102,2,73
102,8,60
62,8,91
62,3,73
62,9,42
62,1,87
67,8,66
67,1,73
67,2,79
67,5,77
32,3,85
32,4,68
32,6,82
32,1,71
32,2,86
32,7,84
32,10,60
63,9,91
63,5,66
63,6,87
63,7,80
63,1,100
53,4,71
53,8,69
53,10,74
11,7,70
11,5,86
11,3,50
11,6,59
50,7,58
50,1,89
50,8,100
50,2,73
50,4,72
54,4,76
54,8,92
54,5,61
76,4,78
76,2,89
76,6,82
76,8,77
76,1,90
76,10,34
35,7,85
35,2,65
35,9,47
35,4,82
35,8,95
74,1,72
74,8,89
74,5,99
74,4,94
74,10,99
74,9,86
19,7,76
19,2,50
19,4,71
19,5,62
45,6,100
45,1,72
71,7,76
71,1,83
71,2,75
6,1,100
6,5,65
6,8,77
6,7,63
6,3,55
6,6,65
6,2,74
24,10,68
24,7,64
24,8,53
24,6,73
85,8,52
85,4,86
85,3,76
118,4,53
118,9,70
118,10,63
118,1,79
118,8,95
118,6,46
90,3,76
90,2,72
90,10,85
90,7,78
99,2,63
99,5,70
99,10,63
99,9,91
99,3,75
25,8,100
25,3,74
25,5,64
46,2,52
46,9,47
46,10,51
46,3,79
46,4,82
4,2,51
4,1,88
4,7,67
4,6,77
4,4,99
48,7,88
48,1,70
48,6,61
48,9,42
48,8,64
114,7,71
114,10,60
114,9,73
114,1,76
114,2,71
114,3,65
114,4,77
30,8,81
30,4,58
30,2,96
30,3,73
30,1,75
30,7,85
5,3,78
5,1,89
5,5,79
5,9,65
94,10,80
94,5,57
94,4,76
100,2,74
100,5,71
98,5,73
98,6,46
98,4,66
98,1,76
87,5,77
87,6,59
87,10,93
87,1,62
87,9,89
38,2,81
38,9,65
77,5,100
77,6,57
77,10,88
77,4,90
77,8,64
65,6,95
65,5,71
65,1,79
65,7,78
65,4,72
58,8,87
58,10,86
58,1,48
3,2,94
3,1,50
3,8,90
3,3,91
3,9,58
3,7,68
89,3,58
89,2,71
89,5,70
89,9,86
89,6,94
89,4,95
96,7,66
96,2,71
96,8,49
22,3,62
22,7,89
22,4,99
22,10,56
22,9,66
21,3,74
21,8,79
21,6,62
21,9,81
21,5,67
111,9,74
111,1,83
7,10,75
7,2,68
88,7,73
88,1,73
88,5,69
88,9,71
79,10,98
79,8,83
79,6,70
79,7,85
79,1,69
52,3,92
52,9,80
52,7,73
52,6,81
52,10,51
95,10,58
95,2,57
95,8,77
68,2,100
68,5,100
68,7,84
78,5,82
78,8,47
78,2,66
78,4,63
78,9,65
78,1,72
78,6,67
116,2,45
116,8,86
116,6,58
116,9,78
116,3,100
93,5,61
93,8,37
93,2,70
56,10,91
56,8,100
56,1,56
56,2,82
56,5,68
56,6,73
75,3,100
75,9,52
8,7,78
8,2,82
8,8,91
8,4,76
8,10,79
26,6,69
26,9,79
26,5,69
26,7,84
91,2,69
91,8,80
91,10,74
91,6,91
91,1,74
91,4,48
43,6,93
43,3,61
43,8,65
43,9,66
43,4,95
110,10,42
110,3,100
110,9,90
110,5,78
70,3,74
70,9,79
37,9,82
37,8,84
37,4,83
37,7,76
37,2,72
37,5,72
37,10,72
37,3,92
106,3,83
106,9,30
106,5,84
47,6,77
47,1,74
47,3,69
47,10,91
66,9,89
66,10,63
66,1,81
66,8,60
66,6,54
