student_id,course_id,action,date
19,5,video_watch,2025-07-22
68,1,download,2025-07-13
66,7,forum_post,2025-07-16
23,7,submission,2025-07-03
52,5,quiz_attempt,2025-07-23
14,9,submission,2025-07-04
81,6,video_watch,2025-07-26
90,1,video_watch,2025-07-30
85,8,forum_post,2025-07-06
113,3,submission,2025-07-23
3,5,view,2025-07-07
60,4,forum_post,2025-07-21
5,6,forum_post,2025-07-28
113,2,forum_post,2025-07-26
12,7,submission,2025-07-22
118,1,login,2025-07-12
26,3,login,2025-07-04
64,6,download,2025-07-14
94,7,view,2025-07-02
109,4,submission,2025-07-16
85,10,view,2025-07-21
103,2,video_watch,2025-07-15
103,5,forum_post,2025-07-21
62,6,login,2025-07-04
8,2,login,2025-07-16
64,4,login,2025-07-19
113,10,submission,2025-07-09
38,10,view,2025-07-13
3,7,quiz_attempt,2025-07-19
81,2,quiz_attempt,2025-07-03
114,3,submission,2025-07-27
75,7,download,2025-07-27
114,9,submission,2025-07-03
96,10,download,2025-07-23
109,4,forum_post,2025-07-29
109,3,video_watch,2025-07-20
20,1,download,2025-07-15
101,2,login,2025-07-05
113,4,forum_post,2025-07-06
74,9,quiz_attempt,2025-07-28
116,2,login,2025-07-17
85,6,download,2025-07-06
1,1,view,2025-07-10
93,9,video_watch,2025-07-10
114,8,view,2025-07-19
55,6,download,2025-07-30
30,10,download,2025-07-17
6,2,forum_post,2025-07-27
93,4,login,2025-07-07
12,5,video_watch,2025-07-27
60,3,download,2025-07-18
60,10,quiz_attempt,2025-07-09
81,10,submission,2025-07-03
4,5,quiz_attempt,2025-07-13
68,7,submission,2025-07-03
111,7,forum_post,2025-07-05
114,4,login,2025-07-21
24,4,forum_post,2025-07-12
46,9,download,2025-07-06
58,3,quiz_attempt,2025-07-26
37,7,login,2025-07-31
98,4,login,2025-07-09
109,9,login,2025-07-22
4,7,login,2025-07-11
74,6,quiz_attempt,2025-07-25
24,3,video_watch,2025-07-26
50,5,login,2025-07-04
103,4,submission,2025-07-31
54,2,view,2025-07-17
100,10,video_watch,2025-07-26
55,2,download,2025-07-12
113,5,download,2025-07-09
98,2,login,2025-07-06
101,7,view,2025-07-12
114,9,download,2025-07-29
48,8,download,2025-07-05
112,1,forum_post,2025-07-17
94,3,view,2025-07-13
46,5,login,2025-07-30
77,4,forum_post,2025-07-20
58,8,view,2025-07-15
30,8,download,2025-07-10
49,7,download,2025-07-31
11,5,forum_post,2025-07-28
74,5,submission,2025-07-25
101,2,forum_post,2025-07-03
40,4,login,2025-07-06
113,1,login,2025-07-24
82,9,submission,2025-07-26
5,7,forum_post,2025-07-17
102,8,submission,2025-07-17
114,2,submission,2025-07-01
15,4,video_watch,2025-07-24
16,7,forum_post,2025-07-18
23,4,forum_post,2025-07-22
52,10,login,2025-07-20
72,3,forum_post,2025-07-30
52,4,view,2025-07-03
32,3,download,2025-07-12
99,7,submission,2025-07-13
118,6,login,2025-07-11
